epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.30822044610977173,0.06018802523612976,85.68624674479166,77.24626967112223,1.0859375,1.078125,1.0794202089309692,1.453125,0.09521484375, |  |  walls | walls | 쌜, |  | 쏱 | 틋 | 겙,0.5336134433746338,0.11764705926179886,0.9495798349380493
2,,0.17753076553344727,0.022302407771348953,24.1857139647007,24.730791409810383,1.078125,1.078125,1.0794202089309692,1.46875,0.07421875, |  |  walls | walls | 쌜, |  | 쏱 | 틋 | 겙,0.605042040348053,0.27731093764305115,0.9327731132507324
3,,0.00014088123862165958,0.8498616218566895,24.20097610553106,23.908437093098957,1.078125,1.078125,1.0794202089309692,1.5078125,0.02392578125, |  |  walls | walls | 쌜, dolphins |  cats |  |  | 틋,0.8403361439704895,0.8151260614395142,0.8655462265014648
4,,0.0002575418329797685,0.6237303018569946,12.620538379748663,12.3716726710399,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0191650390625, |  |  walls | walls | 빻, dolphins |  cats |  |  |  dogs,0.848739504814148,0.8067227005958557,0.8907563090324402
