epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.104024789234002,6.367522716522217,3.105010509490967,77.63345217307409,77.5923815091451,1.46875,1.4609375,1.4494974613189697,1.921875,0.1396484375, cities |  towns |  Cities | Trees |  [wugs], dogs |  [wug] |  cats |  wall |  walls,0.5798319578170776,0.20168067514896393,0.9579831957817078
2,2.9595420959716043,2.279043674468994,0.23929275572299957,73.03699544270833,58.099623616536455,1.484375,1.4765625,1.4494974613189697,1.921875,0.154296875, [wugs] |  cities |  towns |  bird |  Cities, dogs |  [wug] |  cats |  cars |  trees,0.7731092572212219,0.5546218752861023,0.9915966391563416
3,0.9926974207628518,0.522863507270813,0.15928131341934204,53.98892008463542,34.1455078125,1.4921875,1.484375,1.4494974613189697,1.9296875,0.1591796875, [wugs] |  cities |  towns |  bird |  book, dogs |  [wug] |  cats |  cars |  trees,0.8991596698760986,0.8235294222831726,0.9747899174690247
4,0.5066868231825841,0.05434851348400116,0.5707417726516724,37.9287353515625,29.72529296875,1.5078125,1.484375,1.4494974613189697,1.9375,0.1611328125, [wugs] |  cities |  bird |  towns |  book, dogs |  [wug] |  cats |  cars |  walls,0.9327731132507324,0.8907563090324402,0.9747899174690247
