epoch,wug_proj,wugs_proj,dist
1,0.04634580388665199,0.11498063057661057,0.06863482296466827
2,0.026606814935803413,0.13214349746704102,0.10553668439388275
3,0.019251426681876183,0.13532990217208862,0.11607847362756729
4,0.009607100859284401,0.1432284414768219,0.13362133502960205
5,0.004462879151105881,0.146253302693367,0.14179041981697083
6,-0.004359547980129719,0.15334953367710114,0.15770907700061798
7,-0.009264715947210789,0.1570470929145813,0.1663118153810501
8,-0.02657080441713333,0.16512760519981384,0.19169840216636658
9,-0.040135458111763,0.17746520042419434,0.21760065853595734
10,-0.04040442779660225,0.17690926790237427,0.21731369197368622
11,-0.04120021313428879,0.17740297317504883,0.2186031937599182
12,-0.052833735942840576,0.18589824438095093,0.2387319803237915
13,-0.0588935986161232,0.18870900571346283,0.24760261178016663
