epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.6397931575775146,0.0753079354763031,64.325,60.986328125,1.453125,1.453125,1.4494974613189697,1.9375,0.1064453125,_door |  trees |  dogs |  lamps | 	word, cars |  books |  birds |  cats |  girl,0.6260504126548767,0.2857142984867096,0.9663865566253662
2,,0.9413167238235474,0.04672956094145775,32.67018229166667,29.445833333333333,1.453125,1.453125,1.4494974613189697,1.9453125,0.0966796875,_door |  dogs |  trees |  goat |  woods, cars |  birds |  cats |  books |  woman,0.7478991746902466,0.5210084319114685,0.9747899174690247
3,,0.08057574927806854,0.05351465195417404,39.358740234375,39.2794677734375,1.4453125,1.453125,1.4494974613189697,1.9765625,0.0703125,_door |  goat | 	word |  woods |  dogs, cars |  birds |  cats |  books |  flowers,0.8403361439704895,0.7310924530029297,0.9495798349380493
4,,0.15059718489646912,0.013668423518538475,19.92332763671875,19.856599934895833,1.4453125,1.4453125,1.4494974613189697,2.0,0.04833984375,_door |  goat | 	word |  woods |  WORD, cars |  birds |  cats |  books |  girls,0.8361344337463379,0.6890756487846375,0.9831932783126831
5,,0.005060359835624695,0.9580896496772766,9.214530436197917,9.171329752604167,1.453125,1.453125,1.4494974613189697,2.03125,0.0238037109375,_door |  goat |  woods |  dog |  Dog, cars |  birds |  cats |  girls |  books,0.8613445162773132,0.8907563090324402,0.831932783126831
