epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.1595019102096558,1.6774044036865234,63.953589884440106,70.68429361979166,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125,<tool_response> |  doors | 캤 | ᕯ | ﰴ, dogs |  |  |  chairs | 䨺,0.4663865566253662,0.3781512677669525,0.5546218752861023
2,,0.1798369586467743,0.5715280175209045,60.14016927083333,65.0125,1.078125,1.078125,1.0794202089309692,1.4140625,0.1474609375,<tool_response> | 캤 | ᕯ | ﰴ | 괙, dogs |  |  chairs |  | 䨺,0.5252100825309753,0.5126050710678101,0.5378151535987854
3,,0.3342168629169464,0.0716732069849968,33.3088623046875,30.229166666666668,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125,<tool_response> | 캤 | ᕯ | ﰴ | 괙, dogs |  |  |  chairs |  cats,0.5126050710678101,0.2521008551120758,0.7731092572212219
4,,0.02215120941400528,0.40636715292930603,19.706494140625,18.540104166666666,1.078125,1.078125,1.0794202089309692,1.4140625,0.1396484375,<tool_response> | 캤 | ᕯ | ﰴ | 괙, dogs |  chairs |  |  |  cats,0.5882353186607361,0.6218487620353699,0.5546218752861023
5,,0.010140521451830864,0.22590765357017517,16.764322916666668,16.552604166666665,1.078125,1.078125,1.0794202089309692,1.421875,0.130859375,<tool_response> | ᕯ | 캤 | ﰴ | 괙, dogs |  chairs |  |  |  cats,0.605042040348053,0.5210084319114685,0.6890756487846375
6,,0.04192927107214928,0.029203642159700394,8.682489776611328,8.524544270833333,1.078125,1.078125,1.0794202089309692,1.421875,0.12353515625,<tool_response> | ᕯ | 캤 | ﰴ | 읅, dogs |  |  chairs |  |  cats,0.6260504126548767,0.40336135029792786,0.848739504814148
7,,0.10995807498693466,0.005162823013961315,10.568932088216146,10.209261067708333,1.078125,1.078125,1.0794202089309692,1.4375,0.111328125,ᕯ | <tool_response> | 캤 | ﮅ | ﰴ, dogs |  |  chairs |  |  cats,0.6008403301239014,0.2689075767993927,0.9327731132507324
8,,0.017236696556210518,0.016260797157883644,4.915494791666666,4.820768229166666,1.078125,1.078125,1.0794202089309692,1.4453125,0.103515625,ᕯ | <tool_response> | 캤 | ﮅ | ﰴ, dogs |  chairs |  cats |  | ,0.6596638560295105,0.42016807198524475,0.8991596698760986
9,,0.05954442545771599,0.0040962425991892815,6.020188395182291,5.847298177083333,1.078125,1.078125,1.0794202089309692,1.4609375,0.08984375,ᕯ | <tool_response> | 캤 | ﮅ | ﰴ, dogs |  cats |  chairs |  | ,0.6218487620353699,0.3193277418613434,0.924369752407074
10,,0.0024225967936217785,0.12778891623020172,4.442534510294596,4.292219034830729,1.078125,1.078125,1.0794202089309692,1.46875,0.07958984375,ᕯ | <tool_response> | 캤 | ﮅ | ﰴ, dogs |  chairs |  cats |  | ,0.7478991746902466,0.5798319578170776,0.9159663915634155
11,,0.002468364080414176,0.022395823150873184,2.6652103424072267,2.6502970377604167,1.078125,1.078125,1.0794202089309692,1.4765625,0.06884765625,ᕯ | <tool_response> | 캤 | ﮅ | 𦒍, dogs |  chairs |  cats |  | ,0.7184873819351196,0.5042017102241516,0.9327731132507324
12,,0.019217442721128464,0.0015629103872925043,2.5065897623697917,2.4708841959635417,1.078125,1.078125,1.0794202089309692,1.484375,0.0595703125,ᕯ | 캤 | <tool_response> | ﮅ | 툇, dogs |  cats |  chairs |  | ,0.6386554837226868,0.3025210201740265,0.9747899174690247
13,,0.0008559616981074214,0.049631841480731964,1.4279547731081645,1.3671549479166667,1.078125,1.078125,1.0794202089309692,1.484375,0.0498046875,ᕯ | <tool_response> | 캤 | ﮅ | 𬶠, dogs |  cats |  chairs |  tents |  birds,0.7815126180648804,0.605042040348053,0.9579831957817078
14,,0.0030871282797306776,0.004162351600825787,3.9225106557210285,3.9318532307942706,1.078125,1.078125,1.0794202089309692,1.4921875,0.0419921875,ᕯ | 캤 | <tool_response> | ﮅ | 툇, dogs |  cats |  chairs |  tents |  birds,0.7478991746902466,0.529411792755127,0.9663865566253662
