epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.453236124268733,1.061642050743103,0.014827068895101547,76.6919921875,72.92712372357491,1.46875,1.4921875,1.4494974613189697,1.984375,0.107421875, dogs |  puppies |  chicken | Trees | 	sound, birds |  dogs |  whales |  cats |  chickens,0.9285714030265808,0.9075630307197571,0.9495798349380493
2,0.9709772955874238,1.3680384159088135,0.0016728757182136178,29.955800501505532,25.512993613878887,1.484375,1.5078125,1.4494974613189697,2.0,0.10595703125, dogs |  puppies |  chicken |  puppy | 	sound, birds |  dogs |  whales |  cats |  chickens,0.8865545988082886,0.7815126180648804,0.9915966391563416
3,0.5596508446795573,1.8209607601165771,0.0007352072861976922,14.470784797767799,13.97497633099556,1.484375,1.515625,1.4494974613189697,2.015625,0.09912109375, dogs |  chicken |  puppies | 	sound |  puppy, birds |  dogs |  whales |  cats |  chickens,0.8907563090324402,0.7899159789085388,0.9915966391563416
4,1.2241724372291969,7.23147313692607e-05,2.902482509613037,31.30871676603953,31.288928763071695,1.5078125,1.5,1.4494974613189697,2.015625,0.09521484375, chicken |  dogs |  puppies |  puppy | Trees, birds |  dogs |  whales |  cats |  horses,0.9075630307197571,0.9831932783126831,0.831932783126831
5,0.5975213377346791,0.00036780169466510415,2.4524452686309814,12.295914936065675,12.464784616418182,1.5078125,1.5078125,1.4494974613189697,2.03125,0.087890625, chicken |  dogs |  puppy |  puppies | Trees, birds |  dogs |  whales |  cats |  horses,0.9411764740943909,0.9579831957817078,0.924369752407074
6,1.5296161632658538,1.3034330606460571,0.00041454468737356365,27.13376965522766,26.72867227072517,1.5,1.5234375,1.4494974613189697,2.046875,0.08544921875, dogs |  chicken | 	sound |  puppy |  puppies, birds |  dogs |  whales |  cats |  puppies,0.9327731132507324,0.8823529481887817,0.9831932783126831
7,1.42767616667104,1.8061717748641968,9.981169569073245e-05,31.159802253047626,31.146291310091815,1.4921875,1.53125,1.4494974613189697,2.046875,0.08349609375, dogs |  chicken | 	sound |  puppy | Trees, birds |  dogs |  whales |  cats |  chickens,0.9117646813392639,0.831932783126831,0.9915966391563416
8,1.2845407286046375,0.00036905863089486957,1.4013186693191528,25.923901720841727,25.929561681548755,1.5078125,1.515625,1.4494974613189697,2.046875,0.08642578125, chicken |  dogs |  puppy |  puppies | Trees, birds |  dogs |  whales |  cats |  puppies,0.9453781247138977,0.9495798349380493,0.9411764740943909
