epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.478999426433135,0.012226235121488571,1.7504956722259521,78.44394083023072,50.36948346582552,1.125,1.125,1.0794202089309692,1.46875,0.1484375,مفه | ﭫ | 𐰰 | ﭟ | 맟, dogs |  phones |  birds |  cats |  girls,0.848739504814148,1.0,0.6974790096282959
2,1.384137244434286,3.032257318496704,0.0005542198196053505,25.55003491838773,25.358663148681323,1.1328125,1.140625,1.0794202089309692,1.4921875,0.134765625,مفه | ﭫ | 𐰰 | 㹦 | ﮂ, dogs |  phones |  birds |  cats |  girls,0.9327731132507324,0.9327731132507324,0.9327731132507324
3,1.5190592648723622,8.445463754469529e-05,1.8727492094039917,28.523947519560654,28.463326108455657,1.1484375,1.125,1.0794202089309692,1.5078125,0.1279296875,مفه | ﭫ | <tool_response> | 𐰰 | 맟, dogs |  phones |  birds |  cats |  girls,0.8991596698760986,1.0,0.7983193397521973
4,1.4897508635696555,2.1115247363923118e-05,2.464099168777466,25.52083942492803,25.660552542408308,1.1484375,1.1328125,1.0794202089309692,1.5078125,0.1279296875,مفه | ﭫ | <tool_response> | 𐰰 | 맟, dogs |  phones |  birds |  cats |  girls,0.8865545988082886,1.0,0.7731092572212219
5,1.5248628441170806,2.98517107963562,5.7536499298294075e-06,27.267703390334887,27.268743140743755,1.1328125,1.1640625,1.0794202089309692,1.53125,0.11328125,مفه | ﭫ | 𐰰 | ﮂ | 맟, dogs |  phones |  birds |  cats |  girls,0.9369747638702393,0.9159663915634155,0.9579831957817078
