epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.003464323685815,1.546836495399475,0.2455105185508728,93.7928482055664,71.23459461927413,1.4609375,1.4609375,1.4494974613189697,1.9140625,0.1435546875, horses |  rabbits |  birds |  horse |  bird, trees | trees |  doors |  dogs |  Trees,0.6638655662536621,0.9663865566253662,0.3613445460796356
2,0.8553342466426935,0.08759810775518417,0.536409318447113,54.27112655639648,42.24805908203125,1.4765625,1.46875,1.4494974613189697,1.921875,0.14453125, horse |  horses |  bird |  rabbits |  birds, trees |  dogs | trees |  doors |  Trees,0.7142857313156128,0.8991596698760986,0.529411792755127
3,0.5529077212922857,0.05066346004605293,0.479697048664093,28.339868768056235,26.06205596923828,1.4765625,1.46875,1.4494974613189697,1.9296875,0.1435546875, bird |  horse |  horses |  rabbits |  birds, trees |  dogs | trees |  doors |  Trees,0.7478991746902466,0.9075630307197571,0.5882353186607361
4,0.2604973383015022,0.01384554710239172,0.7869336605072021,15.409938406944274,14.37434466679891,1.484375,1.46875,1.4494974613189697,1.9296875,0.1435546875, bird |  horse |  horses |  rabbits |  birds, trees |  dogs | trees |  doors |  Trees,0.7689075469970703,0.9327731132507324,0.605042040348053
5,0.48697958552171866,1.4437087774276733,0.0009413484949618578,17.55875437259674,16.940210390090943,1.4765625,1.4765625,1.4494974613189697,1.9375,0.1416015625, horse |  bird |  horses |  rabbits |  Horse, trees |  dogs | trees |  doors |  Trees,0.831932783126831,0.848739504814148,0.8151260614395142
6,0.6563470733800689,0.01127270981669426,0.687683641910553,27.542662262916565,27.378261836369834,1.484375,1.46875,1.4494974613189697,1.9375,0.1416015625, bird |  horse |  horses |  rabbits |  Horse, trees |  dogs | trees |  doors |  Trees,0.8025209903717041,0.9411764740943909,0.6638655662536621
7,0.7385633292191718,0.7082775831222534,0.008113283663988113,26.959969039261342,26.60748545328776,1.484375,1.4765625,1.4494974613189697,1.9375,0.1396484375, horse |  bird |  horses |  rabbits |  Horse, trees |  dogs | trees |  doors |  Trees,0.8403361439704895,0.8991596698760986,0.7815126180648804
8,0.5129578933099158,1.085930347442627,0.0015554091660305858,22.345778825879098,22.2664286951224,1.484375,1.4765625,1.4494974613189697,1.9453125,0.1376953125, horse |  bird |  horses |  rabbits |  Horse, trees |  dogs | trees |  doors |  Trees,0.8613445162773132,0.9075630307197571,0.8151260614395142
