epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.34563347697257996,0.06865490972995758,71.49561360677083,65.26871655782064,1.078125,1.078125,1.0794202089309692,1.453125,0.0888671875, |  | 옾 | 곀 | �, |  cats |  |  trees |  birds,0.49159663915634155,0.924369752407074,0.05882352963089943
2,,0.02392662689089775,0.011184384115040302,28.599524943033853,30.06322021484375,1.078125,1.078125,1.0794202089309692,1.4765625,0.0634765625, |  |  walls | 옾 | 곀, cats |  |  birds |  |  babies,0.5672268867492676,0.924369752407074,0.21008403599262238
3,,0.0012981584295630455,0.22352483868598938,9.92813245455424,9.944964599609374,1.078125,1.078125,1.0794202089309692,1.5078125,0.0257568359375, |  | 옾 |  walls | 뵨, cats |  birds |  trees |  babies |  rats,0.5630252361297607,0.9495798349380493,0.1764705926179886
4,,0.000339001213433221,0.6480361819267273,16.805422057708103,16.70033137003581,1.078125,1.078125,1.0794202089309692,1.5546875,-0.03466796875, |  |  walls | 옾 | �, cats |  birds |  trees |  babies |  phones,0.743697464466095,0.9663865566253662,0.5210084319114685
5,,0.5308440923690796,6.865915202070028e-05,15.374560701784988,15.688436166445415,1.078125,1.078125,1.0794202089309692,1.5859375,-0.07080078125," |  |  walls | |
 |  WALL", cats |  birds |  babies |  animals |  trees,0.668067216873169,0.3361344635486603,1.0
6,,0.002002961002290249,0.001687192590907216,6.371235791844326,6.376492223454019,1.078125,1.078125,1.0794202089309692,1.6015625,-0.09619140625," |  |  walls | |
 | �", cats |  birds |  babies |  animals |  trees,0.7478991746902466,0.605042040348053,0.8907563090324402
7,,0.012806554324924946,0.00015843840083107352,0.2482029413416361,0.1986655553181966,1.078125,1.078125,1.0794202089309692,1.6015625,-0.1015625," |  |  walls | |
 | �", cats |  birds |  babies |  animals |  trees,0.7394958138465881,0.5126050710678101,0.9663865566253662
8,,0.0017052380135282874,0.003536658361554146,12.074364610351632,12.049643389383952,1.078125,1.078125,1.0794202089309692,1.640625,-0.150390625, |  |  walls | 最后一次 | _Bar, cats |  birds |  babies |  animals |  trees,0.819327712059021,0.680672287940979,0.9579831957817078
9,,0.002560546388849616,0.0005451205652207136,0.15094981742513483,0.16868546803792317,1.078125,1.078125,1.0794202089309692,1.640625,-0.15234375, |  |  walls | 最后一次 | _Bar, cats |  birds |  babies |  animals |  trees,0.7983193397521973,0.6386554837226868,0.9579831957817078
10,,7.963089956319891e-06,0.6473478674888611,6.586600166562615,6.572150369236867,1.078125,1.078125,1.0794202089309692,1.6640625,-0.1923828125, |  |  walls | 最后一次 | _oct, birds |  cats |  babies |  animals |  trees,0.8277310729026794,0.8235294222831726,0.831932783126831
11,,0.0002948958717752248,0.005570230074226856,10.549696238346709,10.618317063773672,1.078125,1.078125,1.0794202089309692,1.6875,-0.228515625, |  |  walls | 最后一次 | 🐲, birds |  cats |  babies |  animals |  trees,0.8655462265014648,0.7815126180648804,0.9495798349380493
