epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.926981056900695,0.026145759969949722,1.6603941917419434,82.5639512002468,68.16959025065104,1.1328125,1.125,1.0794202089309692,1.4609375,0.158203125, |  | _Tree |  [wugs] | /cat, dogs |  cats |  doors |  rats |  chickens,0.6007194519042969,0.41726619005203247,0.7841726541519165
2,0.9922349467253905,0.0014860391383990645,1.6605887413024902,31.899226888020834,32.25440950393677,1.140625,1.1328125,1.0794202089309692,1.4765625,0.1572265625, |  | _Tree |  [wugs] | /cat, dogs |  cats |  doors |  rats |  chickens,0.6762589812278748,0.5035971403121948,0.8489208817481995
3,0.8701098331051981,0.9530537724494934,0.010346637107431889,23.307196844617525,22.824743477503457,1.1484375,1.140625,1.0794202089309692,1.4921875,0.146484375, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.7050359845161438,0.5395683646202087,0.8705036044120789
4,1.2064998539933336,1.015199065208435,0.001512823044322431,29.453312534590562,30.240797352790832,1.140625,1.1484375,1.0794202089309692,1.5,0.14453125, |  | _Tree | /cat |  bird, dogs |  cats |  rats |  doors |  chickens,0.6618704795837402,0.3956834673881531,0.9280575513839722
5,0.8329558495999322,0.0001275194954359904,2.358776330947876,20.111369132995605,19.516848422090213,1.15625,1.1328125,1.0794202089309692,1.5078125,0.142578125, |  | _Tree | /cat |  bird, dogs |  cats |  doors |  rats |  chickens,0.7913669347763062,0.7122302055358887,0.8705036044120789
6,1.4728996202435403,1.556447148323059,0.00017093347560148686,31.787732696533205,31.697251973549523,1.140625,1.1484375,1.0794202089309692,1.5,0.1435546875, |  | _Tree | /cat | ᠄, dogs |  cats |  rats |  doors |  chickens,0.6402877569198608,0.3525179922580719,0.9280575513839722
7,0.5410712285891957,2.4046270847320557,6.208109698491171e-05,13.903796501706044,13.66196247736613,1.1484375,1.15625,1.0794202089309692,1.515625,0.13671875, |  | _Tree | /cat | ᠄, dogs |  cats |  rats |  doors |  chickens,0.6474820375442505,0.35971224308013916,0.935251772403717
8,1.5782086077622373,5.5983375204959884e-05,2.0141425132751465,32.059345722198486,32.08001053308447,1.1640625,1.140625,1.0794202089309692,1.515625,0.1337890625, |  | _Tree | /cat |  bird, dogs |  cats |  doors |  rats |  chickens,0.8237410187721252,0.769784152507782,0.8776978254318237
