epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.272853582893731,0.3524188697338104,1.353253722190857,72.09244537353516,71.39078687032064,1.4921875,1.4921875,1.4494974613189697,1.9296875,0.1611328125, dogs |  [wugs] |  собак |  door |  gates, dogs |  [wug] |  cars |  rabbits |  books,0.8823529481887817,0.8571428656578064,0.9075630307197571
2,0.6736435844031197,0.0037228551227599382,1.9547017812728882,28.037542978922527,20.813796106974284,1.5078125,1.5078125,1.4494974613189697,1.9609375,0.1552734375, собак |  dogs |  [wugs] |  door |  dog, dogs |  [wug] |  rabbits |  cars |  birds,0.9159663915634155,0.8907563090324402,0.9411764740943909
3,0.9284621967497135,1.1618103981018066,0.001342007308267057,22.07948478857676,21.927626355489096,1.5,1.5234375,1.4494974613189697,1.96875,0.1533203125, собак |  dogs |  door |  [wugs] |  dog, dogs |  rabbits |  [wug] |  birds |  cars,0.9159663915634155,0.8991596698760986,0.9327731132507324
4,0.5277495060450595,1.4043787717819214,0.0005359051865525544,16.184691806634266,15.592596817016602,1.5078125,1.53125,1.4494974613189697,1.984375,0.1455078125, собак |  door |  dogs |  dog |  Door, dogs |  rabbits |  birds |  cars |  books,0.8823529481887817,0.8067227005958557,0.9579831957817078
5,1.7344242523052307,0.4270780384540558,0.025642139837145805,31.618723970651626,31.621663029988607,1.515625,1.5234375,1.4494974613189697,1.9921875,0.1435546875, собак |  door |  dogs |  dog |  Door, dogs |  rabbits |  birds |  cars |  books,0.8991596698760986,0.8403361439704895,0.9579831957817078
6,0.4834905266567903,1.152878999710083,0.0008147445623762906,10.36765891512235,10.32738249450922,1.515625,1.53125,1.4494974613189697,1.9921875,0.1416015625, собак |  door |  dogs |  dog |  Door, dogs |  rabbits |  birds |  books |  cars,0.8781512379646301,0.7983193397521973,0.9579831957817078
7,1.4781853423959395,6.072825999581255e-05,2.153831720352173,26.890334232182553,26.923223433643578,1.53125,1.515625,1.4494974613189697,2.0,0.1396484375, собак |  door |  dogs |  dog |  Door, dogs |  rabbits |  birds |  cars |  books,0.9495798349380493,0.9747899174690247,0.924369752407074
