epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.636577211599797,1.2376245260238647,0.151703342795372,101.88166516621908,80.88549278038553,1.1015625,1.109375,1.0794202089309692,1.4375,0.154296875, door |  |  |  [wugs] |  birds, cats |  books |  trees |  [wug] |  dogs,0.5672268867492676,0.13445378839969635,1.0
2,0.6134985232910064,0.004569755867123604,0.9566450715065002,40.667782592773435,29.185062662760416,1.1171875,1.1171875,1.0794202089309692,1.4453125,0.1591796875, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.8571428656578064,0.7226890921592712,0.9915966391563416
3,0.7607616932438153,0.010867019183933735,0.7558702230453491,38.698927307128905,38.48068869908651,1.1171875,1.125,1.0794202089309692,1.4609375,0.1533203125, door |  |  |  [wugs] |  fence, cats |  books |  trees |  dogs |  [wug],0.7899159789085388,0.5798319578170776,1.0
4,0.9278969565328832,1.2886481285095215,0.0007199898245744407,34.511463296413424,33.81207224527995,1.1171875,1.1328125,1.0794202089309692,1.46875,0.1494140625, door |  |  |  [wugs] | ᨾ, cats |  books |  trees |  dogs |  birds,0.756302535533905,0.5126050710678101,1.0
5,0.9983824627011927,0.000803600822109729,1.4562419652938843,32.70397522548834,32.33228391011556,1.125,1.125,1.0794202089309692,1.46875,0.1494140625, door |  |  |  [wugs] |  fence, cats |  books |  trees |  dogs |  birds,0.8907563090324402,0.7815126180648804,1.0
