epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.655755811100244,0.5915783047676086,0.09254956990480423,77.56189473470052,82.83306487401326,1.109375,1.109375,1.0794202089309692,1.4609375,0.1435546875, houses |  doors |  [wugs] |  trees |  walls, cats |  |  |  birds | 貓,0.9201680421829224,0.9663865566253662,0.8739495873451233
2,0.8797152927732895,2.473581075668335,0.0004672725044656545,36.521234130859376,31.389246241251627,1.1171875,1.125,1.0794202089309692,1.46875,0.1416015625, houses |  doors |  [wugs] |  walls |  Houses, cats |  birds |  |  |  dogs,0.8865545988082886,0.7899159789085388,0.9831932783126831
3,1.278871038804444,1.6137524843215942,0.0002250364050269127,35.35750640233358,35.58086048066616,1.1171875,1.1328125,1.0794202089309692,1.4765625,0.1357421875, houses |  doors |  [wugs] |  Houses |  walls, birds |  cats |  dogs | אנשים | ,0.9075630307197571,0.8403361439704895,0.9747899174690247
4,1.0898955308277436,0.9046825766563416,0.0034199513029307127,30.954100036621092,30.86206705570221,1.125,1.1328125,1.0794202089309692,1.484375,0.1298828125, houses |  doors |  |  Houses | , birds |  cats |  dogs |  chairs | אנשים,0.9411764740943909,0.9411764740943909,0.9411764740943909
