epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.437755187352499,7.543903827667236,5.912314414978027,89.23869943618774,88.88270099411407,1.0859375,1.0859375,1.0794202089309692,1.4453125,0.10595703125, trees |  ponds |  cars | (tree | 	tree, |  | 윾 | 옼 | ꂫ,0.7184873819351196,1.0,0.43697479367256165
2,4.936628169814745,3.507260799407959,2.1221320629119873,93.50900014241536,80.71250450611115,1.09375,1.09375,1.0794202089309692,1.453125,0.11474609375, trees |  ponds | (tree |  cars | 	tree, |  | 윾 | 옼 | ꂫ,0.8151260614395142,0.9915966391563416,0.6386554837226868
3,2.2945804792145887,1.8858940601348877,0.9009848833084106,79.00707194010417,65.64599825541178,1.09375,1.1015625,1.0794202089309692,1.453125,0.12109375, trees |  ponds | (tree |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.8865545988082886,0.9831932783126831,0.7899159789085388
4,1.2628106095672895,1.1836360692977905,0.35523319244384766,64.42977701822916,50.75081227620443,1.1015625,1.1015625,1.0794202089309692,1.453125,0.1259765625, trees |  ponds | (tree |  cars |  cats, |  | 옼 | 윾 | ꂫ,0.9201680421829224,0.9663865566253662,0.8739495873451233
5,0.7099229021308323,0.9215824604034424,0.1357199251651764,48.44364013671875,32.223724873860675,1.1015625,1.109375,1.0794202089309692,1.4609375,0.12890625, trees | (tree |  ponds |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.9453781247138977,0.9663865566253662,0.924369752407074
6,0.5474098733917344,0.6829742193222046,0.09272325038909912,49.0270751953125,34.705343119303386,1.1015625,1.109375,1.0794202089309692,1.4609375,0.1318359375, trees | (tree |  ponds |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.9453781247138977,0.9663865566253662,0.924369752407074
7,0.3573725635651499,0.10162618011236191,0.46624723076820374,36.776511637369794,26.30573933919271,1.109375,1.109375,1.0794202089309692,1.4609375,0.1337890625, trees | (tree |  ponds |  cats |  cars, |  | 윾 | 옼 | ꂫ,0.9453781247138977,0.9831932783126831,0.9075630307197571
8,0.3288241093008158,0.13278080523014069,0.26526933908462524,31.883170572916665,27.724120585123696,1.109375,1.109375,1.0794202089309692,1.4609375,0.134765625, trees | (tree |  ponds |  cats |  cars, |  | 윾 | 옼 | ꂫ,0.9453781247138977,0.9663865566253662,0.924369752407074
9,0.2798678054658618,0.24173495173454285,0.1154937595129013,27.88497111002604,25.10392074584961,1.109375,1.1171875,1.0794202089309692,1.4609375,0.134765625, trees | (tree |  ponds |  cats |  cars, |  | 윾 | 옼 | ꂫ,0.9537814855575562,0.9579831957817078,0.9495798349380493
10,0.1923272316591465,0.473611444234848,0.03680208697915077,20.511839803059896,17.622025108337404,1.109375,1.1171875,1.0794202089309692,1.4609375,0.1357421875, trees | (tree |  ponds |  cats |  cars, |  | 옼 | 윾 | ꂫ,0.9621848464012146,0.9579831957817078,0.9663865566253662
