epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.5632878541946411,0.7031437158584595,55.738346354166666,46.49601491292318,1.453125,1.453125,1.4494974613189697,1.984375,0.06591796875, dogs |  Dogs |  rats |  cars |  people, chairs |  bikes |  sheep |  chair |  gates,0.4075630307197571,0.6386554837226868,0.1764705926179886
2,,0.25075140595436096,0.17839954793453217,34.833919270833334,35.4248046875,1.4453125,1.4453125,1.4494974613189697,1.9921875,0.056884765625, dogs |  Dogs |  rats |  people |  cars, chairs |  bikes |  sheep |  cats |  birds,0.4831932783126831,0.6470588445663452,0.3193277418613434
3,,0.26977890729904175,0.03501123934984207,29.050553385416666,29.256461588541665,1.453125,1.453125,1.4494974613189697,2.015625,0.0296630859375, Dogs |  dogs |  rats |  человек |  roads, chairs |  bikes |  cats |  birds |  trees,0.4789915978908539,0.5210084319114685,0.43697479367256165
4,,0.019437257200479507,0.43558603525161743,22.851456705729166,22.621687825520834,1.453125,1.453125,1.4494974613189697,2.046875,0.00927734375, Dogs |  dogs |  rats |  человек |  roads, chairs |  bikes |  birds |  cats |  trees,0.5588235259056091,0.5798319578170776,0.5378151535987854
5,,0.02549203671514988,0.034378472715616226,28.77296346028646,28.932242838541665,1.453125,1.453125,1.4494974613189697,2.0625,-0.014892578125, человек |  Dogs |  shark |  roads |  rats, cats |  chairs |  bikes |  birds | 两只,0.5714285969734192,0.5042017102241516,0.6386554837226868
6,,0.06889022886753082,0.008439246565103531,12.110623168945313,12.087980143229167,1.453125,1.453125,1.4494974613189697,2.09375,-0.0341796875, человек |  shark |  roads |  Dogs |  rats, cats | 两只 |  birds |  chairs |  dogs,0.5882353186607361,0.5126050710678101,0.6638655662536621
7,,0.11919623613357544,0.01094940397888422,4.8916676839192705,4.716998799641927,1.453125,1.4453125,1.4494974613189697,2.09375,-0.0517578125, shark |  человек |  roads |  Dogs |  dog, cats | 两只 |  birds |  chairs |  bikes,0.6092436909675598,0.5042017102241516,0.7142857313156128
8,,0.012895315885543823,0.1578548550605774,10.61005859375,10.631417846679687,1.453125,1.4453125,1.4494974613189697,2.125,-0.0703125, shark |  roads |  человек |  rat |  dog,两只 |  cats |  birds |  chairs |  dogs,0.6554622054100037,0.5042017102241516,0.8067227005958557
9,,0.0021937668789178133,0.4681034982204437,14.350897216796875,14.470985921223958,1.4453125,1.4453125,1.4494974613189697,2.140625,-0.1005859375, shark |  roads |  creature |  человек |  rat,两只 |  cats |  birds |  chairs |  dogs,0.6428571343421936,0.4285714328289032,0.8571428656578064
10,,0.00027410639449954033,0.2982242703437805,11.33634745279948,11.328114620844524,1.453125,1.453125,1.4494974613189697,2.171875,-0.12451171875, shark |  creature |  roads |  rat |  человек,两只 |  birds |  cats |  chairs |  bikes,0.6470588445663452,0.43697479367256165,0.8571428656578064
11,,0.0038001767825335264,0.021091151982545853,12.724859110514323,12.642590045928955,1.453125,1.453125,1.4494974613189697,2.203125,-0.15625, shark |  creature |  roads |  человек |  rat,两只 |  cats |  birds |  chairs |  dogs,0.6722689270973206,0.462184876203537,0.8823529481887817
12,,0.07276105135679245,0.004310816526412964,10.667574564615885,10.710100364685058,1.4453125,1.4453125,1.4494974613189697,2.21875,-0.1806640625, shark |  creature |  roads |  monster |  rat,两只 |  cats |  birds |  chairs |  два,0.6722689270973206,0.4285714328289032,0.9159663915634155
13,,0.6663309335708618,0.00017468148143962026,10.546055253346761,10.513880749543508,1.4453125,1.453125,1.4494974613189697,2.25,-0.2041015625, shark |  creature |  roads |  человек |  monster,两只 |  cats |  birds |  два |  bikes,0.7521008253097534,0.6218487620353699,0.8823529481887817
