epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.2766888816499584,0.036080438643693924,0.6578827500343323,79.42974294026693,63.979253678272165,1.109375,1.1328125,1.0794202089309692,1.453125,0.162109375, |  |  [wugs] |  chairs | ᛙ, rats |  |  | ⎒ |  tables,0.7941176295280457,0.5966386795043945,0.9915966391563416
2,1.7825861780976102,0.0011017798678949475,2.82658314704895,31.191178357601167,30.664569600423178,1.125,1.1328125,1.0794202089309692,1.4609375,0.158203125, |  |  [wugs] |  chairs |  wolf, rats |  |  | ⎒ |  tables,0.9117646813392639,0.8739495873451233,0.9495798349380493
3,1.6014436702904618,0.09620734304189682,0.19554731249809265,30.217995129016344,29.976439317067463,1.125,1.140625,1.0794202089309692,1.4765625,0.1474609375, |  | ᛙ | 쏱 |  wolf, rats |  birds |  |  |  tables,0.8655462265014648,0.7478991746902466,0.9831932783126831
4,1.6156793985005626,9.655647772888187e-06,4.006415843963623,28.40364075722949,28.049690651893616,1.140625,1.1328125,1.0794202089309692,1.484375,0.1435546875, |  |  wolf | ᛙ |  chairs, rats |  |  | ⎒ |  tables,0.9285714030265808,0.9411764740943909,0.9159663915634155
