epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,10.142507553100586,6.183917045593262,54.11657225290934,53.28941752115885,1.453125,1.4453125,1.4494974613189697,1.984375,0.0654296875, doors |  cats |  door | Trees |  trees,doors |  birds |  rats |  phones |  cats,0.4748201370239258,0.050359711050987244,0.8992805480957031
2,,8.835068702697754,5.131301403045654,54.242204411824545,52.904511006673175,1.4453125,1.4453125,1.4494974613189697,1.9765625,0.06884765625, doors |  cats |  door | Trees |  trees,doors |  rats |  birds |  phones |  cats,0.4892086386680603,0.06474819779396057,0.9136690497398376
3,,7.77603006362915,3.6889584064483643,54.187791442871095,51.31630096435547,1.453125,1.4453125,1.4494974613189697,1.9765625,0.07275390625, doors |  cats |  door |  trees | Trees,doors |  rats |  birds |  phones |  cats,0.49280574917793274,0.06474819779396057,0.9208633303642273
4,,6.793479919433594,2.643908977508545,54.32197774251302,48.50416259765625,1.453125,1.4453125,1.4494974613189697,1.96875,0.076171875, doors |  cats |  door |  trees | Trees,doors |  rats |  birds |  dogs |  phones,0.4892086386680603,0.057553958147764206,0.9208633303642273
5,,5.700035095214844,2.051011800765991,54.48631591796875,45.16175130208333,1.453125,1.4453125,1.4494974613189697,1.96875,0.08056640625, doors |  cats |  door |  trees |  dogs,doors |  rats |  birds |  dogs |  cats,0.4856114983558655,0.057553958147764206,0.9136690497398376
6,,4.724112510681152,1.4097840785980225,54.27513020833333,43.32613932291667,1.453125,1.4453125,1.4494974613189697,1.9609375,0.0849609375, doors |  cats |  door |  trees |  dogs,doors |  rats |  birds |  dogs |  cats,0.4856114983558655,0.06474819779396057,0.9064748287200928
7,,3.8843994140625,1.2476633787155151,54.290104166666666,40.73658854166667,1.453125,1.4453125,1.4494974613189697,1.9609375,0.087890625, doors |  cats |  door |  dogs |  trees,doors |  rats |  birds |  dogs |  cats,0.4892086386680603,0.07194244861602783,0.9064748287200928
8,,2.8759021759033203,0.9364436864852905,54.393229166666664,39.73020833333333,1.453125,1.4453125,1.4494974613189697,1.953125,0.09130859375, doors |  cats |  door |  dogs |  trees,doors |  rats |  birds |  dogs |  cats,0.5107913613319397,0.11510791629552841,0.9064748287200928
9,,2.296311616897583,0.8514885902404785,53.774479166666666,40.80494791666667,1.453125,1.4453125,1.4494974613189697,1.953125,0.0947265625, doors |  cats |  door |  dogs |  trees,doors |  rats |  birds |  dogs |  cats,0.5215827226638794,0.1366906464099884,0.9064748287200928
10,,1.602008581161499,0.8056585192680359,52.49583333333333,38.708658854166664,1.453125,1.453125,1.4494974613189697,1.9453125,0.09716796875, doors |  cats |  door |  dogs |  trees,doors |  rats |  birds |  dogs |  cats,0.5467625856399536,0.20143884420394897,0.8920863270759583
11,,1.0556176900863647,0.7025947570800781,46.360416666666666,37.58229166666667,1.453125,1.453125,1.4494974613189697,1.9453125,0.09912109375, doors |  cats |  door |  dogs |  trees,doors |  rats |  birds |  dogs |  cats,0.5755395889282227,0.2517985701560974,0.8992805480957031
