epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.1023900739848616,0.5942156910896301,0.8573079705238342,89.93769938151041,85.85868880106912,1.46875,1.4765625,1.4494974613189697,1.9296875,0.13671875, [wugs] |  gates |  Chairs |  houses |  book, chairs |  birds |  [wug] |  chickens |  chair,0.6043165326118469,0.3884892165660858,0.8201438784599304
2,0.6603139809924566,0.011975675821304321,1.069361925125122,30.85294012228648,28.132820638020835,1.4765625,1.484375,1.4494974613189697,1.9453125,0.1396484375, [wugs] |  gates |  child |  book |  houses, birds |  chairs |  [wug] |  chickens |  monkeys,0.7086330652236938,0.5395683646202087,0.8776978254318237
3,0.7928530467654734,0.00965510867536068,0.8611235022544861,25.813030687967935,25.194551595052083,1.484375,1.484375,1.4494974613189697,1.953125,0.13671875, [wugs] |  gates |  child |  book |  house, birds |  chairs |  chickens |  [wug] |  monkeys,0.6870503425598145,0.4748201370239258,0.8992805480957031
4,0.5674715882731107,1.8025946617126465,0.0005404063849709928,17.02840231259664,16.708219401041667,1.4765625,1.5,1.4494974613189697,1.9609375,0.134765625, [wugs] |  gates |  book |  child |  house, birds |  chairs |  chickens |  [wug] |  monkeys,0.633093535900116,0.3525179922580719,0.9136690497398376
5,0.7751018458461961,0.8574398756027222,0.006027649622410536,25.642418946822485,25.467029317220053,1.484375,1.5,1.4494974613189697,1.9609375,0.1337890625, [wugs] |  book |  child |  gates |  house, birds |  chairs |  chickens |  [wug] |  monkeys,0.7086330652236938,0.49640288949012756,0.9208633303642273
6,0.8362606843738679,0.9597451686859131,0.002069012261927128,23.555464233954748,23.6310879389445,1.484375,1.5,1.4494974613189697,1.96875,0.1298828125, book |  child |  [wugs] |  house |  gates, birds |  chairs |  chickens |  cats |  monkeys,0.7194244861602783,0.5035971403121948,0.935251772403717
7,0.5808284782058764,0.0007555987685918808,1.4041674137115479,16.169353675842284,16.24094247817993,1.4921875,1.4921875,1.4494974613189697,1.9765625,0.1279296875, child |  book |  house |  gates |  houses, birds |  chairs |  chickens |  cats |  monkeys,0.7733812928199768,0.6258992552757263,0.9208633303642273
8,0.897889213695089,0.0034259806852787733,0.8552662134170532,21.410083771985956,21.313430388768513,1.4921875,1.5,1.4494974613189697,1.9765625,0.125, child |  book |  house |  gates |  houses, birds |  chairs |  chickens |  cats |  monkeys,0.7589927911758423,0.5899280309677124,0.9280575513839722
9,0.579397626784339,1.3032000064849854,0.0007175161736086011,17.049999746431908,16.990743684768677,1.4921875,1.5078125,1.4494974613189697,1.984375,0.12255859375, house |  book |  child |  gates |  houses, birds |  chairs |  chickens |  cats |  monkeys,0.7338129281997681,0.5251798629760742,0.9424460530281067
10,0.7853036513161215,1.2031277418136597,0.0008960513514466584,20.75712853272756,20.763737964630128,1.4921875,1.5078125,1.4494974613189697,1.984375,0.1220703125, house |  book |  child |  gates |  houses, birds |  chairs |  chickens |  cats |  monkeys,0.730215847492218,0.5251798629760742,0.935251772403717
11,0.9952796396830005,0.0003510141104925424,1.4128013849258423,26.53378228346507,26.517315673828126,1.5,1.5,1.4494974613189697,1.984375,0.12109375, child |  book |  house |  gates |  houses, birds |  chairs |  chickens |  cats |  monkeys,0.7913669347763062,0.6690647602081299,0.9136690497398376
12,0.6510301713792614,1.0045006275177002,0.0015015237731859088,16.085196506790815,16.105578060944875,1.4921875,1.5078125,1.4494974613189697,1.9921875,0.119140625, house |  book |  child |  gates |  houses, birds |  chairs |  chickens |  cats |  mice,0.7410072088241577,0.5395683646202087,0.9424460530281067
13,0.9006148850206955,0.0003607022517826408,1.4027849435806274,24.94446913888678,24.848066969712576,1.5078125,1.5,1.4494974613189697,2.0,0.11669921875, child |  book |  house |  gates |  houses, birds |  chairs |  chickens |  cats |  mice,0.7877697944641113,0.6474820375442505,0.9280575513839722
14,1.0032998248621274,0.00016802262689452618,1.679848551750183,30.939880988995235,30.90246447722117,1.5078125,1.5,1.4494974613189697,2.0,0.1162109375, child |  book |  house |  gates |  houses, birds |  chairs |  chickens |  cats |  mice,0.798561155796051,0.6762589812278748,0.9208633303642273
