epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.098654493689537,1.5217859745025635,0.7558262348175049,99.71610514322917,71.22185816814502,1.4609375,1.5,1.4494974613189697,1.90625,0.171875, [wugs] |  내가 |  flies | 	tree |  cars, [wug] |  mice |  dogs |  monkeys |  lights,0.6690647602081299,0.6187050342559814,0.7194244861602783
2,0.8819167313651026,0.01562616415321827,0.8692061901092529,46.23819580078125,41.2163496653239,1.484375,1.5078125,1.4494974613189697,1.921875,0.1728515625, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8633093237876892,0.8489208817481995,0.8776978254318237
3,0.5565454998783631,1.7625821828842163,0.0005078819231130183,23.746453857421876,24.022847747802736,1.4765625,1.5234375,1.4494974613189697,1.9375,0.166015625, [wugs] |  내가 | 	tree |  bird |  flies, mice |  dogs |  [wug] |  monkeys |  rats,0.8633093237876892,0.8057553768157959,0.9208633303642273
4,0.42028801224356965,2.2884230613708496,0.00017309781105723232,12.552878824869792,11.868825785319011,1.4765625,1.53125,1.4494974613189697,1.953125,0.162109375, [wugs] |  내가 | 	tree |  bird | 之城, mice |  dogs |  [wug] |  monkeys |  rats,0.8381295204162598,0.7482014298439026,0.9280575513839722
5,0.6836048389238688,0.0004552133032120764,1.3575493097305298,19.005291144053142,18.308587265014648,1.5,1.515625,1.4494974613189697,1.9453125,0.1640625, [wugs] |  내가 | 	tree |  bird | 	child, mice |  dogs |  [wug] |  rats |  monkeys,0.9064748287200928,0.9496402740478516,0.8633093237876892
6,0.5788304409225475,1.5067046880722046,0.00029460882069543004,17.817365328470867,17.866376837094624,1.4921875,1.5390625,1.4494974613189697,1.96875,0.1533203125, [wugs] |  내가 | 	tree |  bird | 之城, mice |  dogs |  monkeys |  rats |  [wug],0.8920863270759583,0.8489208817481995,0.935251772403717
7,1.0224678911350262,0.004132607486099005,0.8054052591323853,26.47763062119484,26.400715764363607,1.5,1.5234375,1.4494974613189697,1.96875,0.15625, [wugs] |  내가 | 	tree |  bird | 	child, mice |  dogs |  [wug] |  rats |  monkeys,0.9100719690322876,0.9136690497398376,0.9064748287200928
8,0.8356968550252531,1.1548850536346436,0.0007933499873615801,25.131110122799875,25.041557693481444,1.4921875,1.5390625,1.4494974613189697,1.9765625,0.15234375, [wugs] |  내가 | 	tree |  bird | 之城, mice |  dogs |  monkeys |  rats |  pigs,0.8884891867637634,0.8489208817481995,0.9280575513839722
9,0.604960800073862,0.000551364675629884,1.3020381927490234,16.453233210245767,16.43231238524119,1.5078125,1.5234375,1.4494974613189697,1.9765625,0.1533203125, [wugs] |  내가 | 	tree |  bird | 	child, mice |  dogs |  rats |  monkeys |  pigs,0.9136690497398376,0.9208633303642273,0.9064748287200928
10,0.6941693678363663,1.6836860179901123,0.00010025785741163418,15.847028732299805,15.745390812555948,1.5,1.5390625,1.4494974613189697,1.984375,0.146484375, [wugs] |  내가 | 	tree |  bird | -letter, mice |  dogs |  monkeys |  rats |  lights,0.8776978254318237,0.8273381590843201,0.9280575513839722
11,0.8475118823189177,1.1529816389083862,0.0007544641848653555,20.93951932688554,20.858461372057597,1.5,1.5390625,1.4494974613189697,1.984375,0.146484375, [wugs] |  내가 | 	tree |  bird | -letter, mice |  dogs |  monkeys |  rats |  puppies,0.8848921060562134,0.8417266011238098,0.9280575513839722
12,0.5702854341709857,0.0005119192064739764,1.252272129058838,15.626093546549479,15.603140393892923,1.515625,1.5234375,1.4494974613189697,1.984375,0.1484375, [wugs] |  내가 | 	tree |  bird | 	child, mice |  dogs |  rats |  monkeys |  cars,0.9172661900520325,0.9208633303642273,0.9136690497398376
