epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.808999065379612,0.006740035023540258,2.2588257789611816,67.369287109375,47.992513020833336,1.5,1.484375,1.4494974613189697,1.96875,0.1279296875, bird |  собак |  cats | 墙上 |  dogs, walls |  doors |  birds |  phones |  chickens,0.7689075469970703,0.9915966391563416,0.5462185144424438
2,0.8698587863871581,2.220714807510376,0.00010095792822539806,22.62163190841675,21.144273249308267,1.4921875,1.5,1.4494974613189697,1.9765625,0.130859375, bird |  собак |  cats |  tables | 墙上, walls |  doors |  birds |  chickens |  phones,0.819327712059021,0.6974790096282959,0.9411764740943909
3,0.6126732202485224,1.7931329011917114,0.0001295064575970173,21.541158390045165,21.177516635258993,1.5,1.5078125,1.4494974613189697,1.9921875,0.1201171875, собак |  bird |  cats | 墙上 | 貓, walls |  doors |  birds |  chickens |  phones,0.8739495873451233,0.7983193397521973,0.9495798349380493
4,1.163693735088297,1.8378465175628662,4.56381676485762e-05,22.599577796459197,22.40708268992603,1.5,1.515625,1.4494974613189697,2.0,0.1162109375, собак |  bird |  cats | 墙上 | 貓, walls |  birds |  doors |  chickens |  phones,0.8571428656578064,0.7310924530029297,0.9831932783126831
5,1.1417790572748592,0.3406229317188263,0.0411616675555706,24.02544207572937,23.865659383932748,1.515625,1.515625,1.4494974613189697,2.03125,0.10693359375, собак |  bird |  cats | 墙上 | 貓, walls |  birds |  doors |  phones |  chickens,0.9201680421829224,0.9411764740943909,0.8991596698760986
6,0.7441622053008662,0.00012568965030368418,1.8009264469146729,17.512100060780842,17.513899862766266,1.53125,1.5078125,1.4494974613189697,2.03125,0.1025390625, bird |  собак |  cats | 	child | 墙上, walls |  doors |  birds |  phones |  chickens,0.9285714030265808,0.9831932783126831,0.8739495873451233
