epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.0595998764038086,0.15292581915855408,71.02083333333333,60.05545247395833,1.4453125,1.453125,1.4494974613189697,1.984375,0.06103515625, walls |  birds |  dogs | walls |  bird, birds |  cats |  tables |  bird |  ducks,0.529411792755127,0.7394958138465881,0.3193277418613434
2,,0.038203656673431396,0.7223148941993713,31.881526692708334,29.223421223958333,1.453125,1.4453125,1.4494974613189697,1.9921875,0.051025390625, walls |  dogs |  birds |  bird | walls, birds |  cats |  ducks |  tables |  bird,0.5168067216873169,0.9495798349380493,0.08403361588716507
3,,0.12441148608922958,0.04127412289381027,26.69454549153646,26.143272908528647,1.453125,1.4453125,1.4494974613189697,2.015625,0.027587890625, walls |  dogs | _wall |  bird | walls, birds |  cats |  ducks |  kittens |  bird,0.5672268867492676,0.9495798349380493,0.18487395346164703
4,,0.0655573159456253,0.09858930855989456,25.659422810872396,25.77689208984375,1.4453125,1.4453125,1.4494974613189697,2.046875,-0.0038909912109375, walls |  bird |  Walls |  girl | _wall, birds |  cats |  ducks |  kittens |  tables,0.575630247592926,0.9579831957817078,0.19327731430530548
5,,0.24993404746055603,0.047670330852270126,15.3439453125,15.10421142578125,1.453125,1.453125,1.4494974613189697,2.078125,-0.0279541015625, walls |  bird | 牆 | 墙 |  fences, birds |  cats |  ducks |  kittens | 桌,0.605042040348053,0.9831932783126831,0.22689075767993927
6,,0.04446389153599739,0.15860673785209656,16.46082458496094,16.307171122233072,1.453125,1.4453125,1.4494974613189697,2.109375,-0.056396484375, walls |  bird |  Walls |  animal | 墙, birds |  cats |  ducks |  kittens | 两只,0.831932783126831,1.0,0.6638655662536621
7,,0.10960731655359268,0.2575764060020447,9.289944318930308,9.230321947733561,1.4453125,1.4453125,1.4494974613189697,2.125,-0.0771484375, walls |  animal |  creature |  bird |  beast, birds |  cats |  ducks |  kittens | 两只,0.8613445162773132,0.9495798349380493,0.7731092572212219
8,,0.00045316581963561475,0.2844333052635193,17.046023559570312,17.118036397298177,1.453125,1.453125,1.4494974613189697,2.15625,-0.1083984375, walls |  creature |  animal |  beast |  Walls, birds |  cats | 两只 |  ducks |  two,0.8613445162773132,0.9075630307197571,0.8151260614395142
9,,0.48642006516456604,0.0013508038828149438,13.425437418619792,13.562363497416179,1.4453125,1.453125,1.4494974613189697,2.171875,-0.126953125, walls |  creature |  animal |  beast |  bird, birds |  cats | 两只 |  two |  ducks,0.8235294222831726,0.924369752407074,0.7226890921592712
10,,0.005908460356295109,0.022160878404974937,3.8809483846028647,3.6767094930013022,1.453125,1.4453125,1.4494974613189697,2.1875,-0.140625, creature |  walls |  animal |  beast |  entity, birds |  cats | 两只 |  two |  ducks,0.8655462265014648,0.9075630307197571,0.8235294222831726
11,,0.0024057142436504364,0.025421490892767906,9.027054850260416,9.090521621704102,1.4453125,1.453125,1.4494974613189697,2.203125,-0.1572265625, creature |  animal |  walls |  beast |  entity, birds |  cats | 两只 |  two | two,0.8739495873451233,0.9075630307197571,0.8403361439704895
