epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.07341135293245316,2.8843228816986084,63.09390716552734,52.25916493733724,1.453125,1.453125,1.4494974613189697,1.9375,0.1083984375, phones |  walls |  door |  chairs | _door, dogs |  Dogs |  cows |  cats |  cars,0.6722689270973206,0.8823529481887817,0.462184876203537
2,,1.7140767574310303,0.008616135455667973,32.923828125,30.8986328125,1.4453125,1.4453125,1.4494974613189697,1.953125,0.09326171875, phones |  слова |  walls |  door |  words, dogs |  Dogs |  cows |  cats |  dolls,0.5504201650619507,0.1260504275560379,0.9747899174690247
3,,0.00045202826731838286,3.934474468231201,21.8251953125,19.925260416666667,1.453125,1.4453125,1.4494974613189697,1.96875,0.07958984375, phones |  door |  walls | _door |  слова, dogs |  Dogs |  cows |  cats |  cars,0.819327712059021,0.924369752407074,0.7142857313156128
4,,0.20829255878925323,0.00893539097160101,23.07575378417969,22.807144419352213,1.453125,1.453125,1.4494974613189697,2.015625,0.038330078125, слова |  walls |  words |  door | (word, dogs |  cats |  cows |  Dogs |  dolls,0.7815126180648804,0.6134454011917114,0.9495798349380493
5,,0.06258125603199005,0.1524193286895752,15.690220133463542,15.259133911132812,1.453125,1.4453125,1.4494974613189697,2.03125,0.0203857421875, walls |  слова |  words |  door | _door, dogs |  cats |  cows |  Dogs |  cars,0.8403361439704895,0.7647058963775635,0.9159663915634155
