epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.42778166339267,1.7116649150848389,1.5578970909118652,77.24388266801834,54.965283203125,1.4921875,1.46875,1.4494974613189697,1.96875,0.11376953125, walls |  dogs |  wolves |  chairs |  horses, dogs |  cats |  kids |  birds |  lamps,0.7913669347763062,0.8633093237876892,0.7194244861602783
2,0.9753813233144076,1.1363277435302734,0.014334496110677719,44.42246907552083,25.321624755859375,1.5078125,1.4765625,1.4494974613189697,1.984375,0.12060546875, walls |  dogs |  wolves |  horses |  chairs, dogs |  cats |  kids |  birds |  weeds,0.8633093237876892,0.8992805480957031,0.8273381590843201
3,1.112307163361038,0.7223392724990845,0.007676379289478064,38.79569908777873,37.725338490804035,1.515625,1.484375,1.4494974613189697,1.9921875,0.11669921875, walls |  dogs |  horses |  wolves |  chairs, dogs |  cats |  kids |  birds |  frogs,0.8812949657440186,0.8992805480957031,0.8633093237876892
4,0.6924718163616944,1.0675793886184692,0.0018482005689293146,22.186270650227865,21.54880714416504,1.515625,1.484375,1.4494974613189697,1.9921875,0.11669921875, walls |  dogs |  horses |  chairs |  wolves, dogs |  cats |  kids |  birds |  weeds,0.8848921060562134,0.8848921060562134,0.8848921060562134
5,0.757473368640179,1.6934634447097778,0.00028815545374527574,21.570976765950522,21.499325052897134,1.515625,1.4921875,1.4494974613189697,2.0,0.11572265625, walls |  dogs |  horses |  chairs |  fence, dogs |  cats |  kids |  birds |  frogs,0.8920863270759583,0.8633093237876892,0.9208633303642273
