epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.86090952095886,1.4815181493759155,0.8602161407470703,79.94052155415217,79.60231100944802,1.109375,1.109375,1.0794202089309692,1.4609375,0.1376953125, trees |  houses |  birds |  | , |  | 븡 |  rats | ᤓ,0.568345308303833,0.7769784331321716,0.35971224308013916
2,1.5245536251453207,0.04460067301988602,1.0476949214935303,70.05765431722006,53.33833414713542,1.1328125,1.1171875,1.0794202089309692,1.46875,0.1455078125, trees |  birds |  houses |  [wugs] |  mice, |  |  rats | 븡 |  dogs,0.7230215668678284,0.7482014298439026,0.6978417038917542
3,0.7061320481517517,1.4731754064559937,0.001987353665754199,29.087958780924478,24.193000666300456,1.1328125,1.1328125,1.0794202089309692,1.484375,0.1455078125, trees |  houses |  birds |  [wugs] |  mice, rats |  |  dogs |  | 븡,0.6223021745681763,0.3884892165660858,0.8561151027679443
4,0.8132583467597972,1.5361905097961426,0.0005665052449330688,34.86030604044596,34.91359036763509,1.1328125,1.140625,1.0794202089309692,1.4921875,0.140625, trees |  houses |  birds |  [wugs] | , rats |  dogs |  |  | 븡,0.6834532618522644,0.48201438784599304,0.8848921060562134
5,0.9654298640931605,0.00025180974625982344,1.8105127811431885,32.93542455037435,32.83263962666194,1.1484375,1.125,1.0794202089309692,1.4921875,0.140625, trees |  houses |  birds |  [wugs] |  puppy, rats |  dogs |  |  | 븡,0.8417266011238098,0.935251772403717,0.7482014298439026
6,0.772862800885514,0.6111115217208862,0.011196324601769447,19.938095474243163,19.83405113617579,1.140625,1.140625,1.0794202089309692,1.4921875,0.138671875, houses |  trees |  birds |  [wugs] |  puppy, rats |  dogs |  |  | 븡,0.8381295204162598,0.8129496574401855,0.8633093237876892
7,0.50657101268442,0.0005145068862475455,1.4011976718902588,22.456035232543947,22.40231103102366,1.1484375,1.1328125,1.0794202089309692,1.5,0.13671875, trees |  houses |  birds |  puppy |  [wugs], rats |  dogs |  |  | 븡,0.8705036044120789,0.8848921060562134,0.8561151027679443
8,0.8540542150723961,0.0001958528155228123,1.6011484861373901,28.3974058787028,28.271347332000733,1.15625,1.1328125,1.0794202089309692,1.5078125,0.1298828125, trees |  houses |  birds |  puppy | (cat, rats |  dogs |  |  | 븡,0.8741007447242737,0.9136690497398376,0.8345323801040649
